,name,author_number,total,contribution
0,Deeparnab Chakrabarty,3,1,0.3333333333333333
1,Prateek Jain,3,1,0.3333333333333333
2,Pravesh Kothari,3,1,0.3333333333333333
3,Xiangyu Wang,3,1,0.3333333333333333
4,Peichao Peng,3,1,0.3333333333333333
5,David B Dunson,3,1,0.3333333333333333
6,Anshumali Shrivastava,2,1,0.5
7,Ping Li,2,1,0.5
8,Dylan Festa,3,1,0.3333333333333333
9,Guillaume Hennequin,3,1,0.3333333333333333
10,Mate Lengyel,3,1,0.3333333333333333
11,Matthew Lawlor,2,1,0.5
12,Steven W Zucker,2,1,0.5
13,Waleed Ammar,3,1,0.3333333333333333
14,Chris Dyer,3,1,0.3333333333333333
15,Noah A Smith,3,1,0.3333333333333333
16,Yichuan Tang,3,1,0.3333333333333333
17,Nitish Srivastava,3,1,0.3333333333333333
18,Russ R Salakhutdinov,3,1,0.3333333333333333
19,Ilya Sutskever,3,1,0.3333333333333333
20,Oriol Vinyals,3,1,0.3333333333333333
21,Quoc V Le,3,1,0.3333333333333333
22,Jason Yosinski,4,1,0.25
23,Jeff Clune,4,1,0.25
24,Yoshua Bengio,4,1,0.25
25,Hod Lipson,4,1,0.25
26,Murat Kocaoglu,4,1,0.25
27,Karthikeyan Shanmugam,4,1,0.25
28,Alex G Dimakis,4,1,0.25
29,Adam Klivans,4,1,0.25
30,Shouyuan Chen,5,1,0.2
31,Tian Lin,5,1,0.2
32,Irwin King,5,1,0.2
33,Michael R Lyu,5,1,0.2
34,Wei Chen,5,1,0.2
35,Nishant A Mehta,2,1,0.5
36,Robert C Williamson,2,1,0.5
37,Odalric-Ambrym Maillard,3,1,0.3333333333333333
38,Timothy A Mann,3,1,0.3333333333333333
39,Shie Mannor,3,1,0.3333333333333333
40,Ankit Garg,3,1,0.3333333333333333
41,Tengyu Ma,3,1,0.3333333333333333
42,Huy Nguyen,3,1,0.3333333333333333
43,Chris J J Maddison,3,1,0.3333333333333333
44,Daniel Tarlow,3,1,0.3333333333333333
45,Tom Minka,3,1,0.3333333333333333
46,Brooks Paige,4,1,0.25
47,Frank Wood,4,1,0.25
48,Arnaud Doucet,4,1,0.25
49,Yee Whye Teh,4,1,0.25
50,Michael Schober,3,1,0.3333333333333333
51,David K Duvenaud,3,1,0.3333333333333333
52,Philipp Hennig,3,1,0.3333333333333333
53,Kacper P Chwialkowski,3,1,0.3333333333333333
54,Dino Sejdinovic,3,1,0.3333333333333333
55,Arthur Gretton,3,1,0.3333333333333333
56,Adrian Weller,2,1,0.5
57,Tony Jebara,2,1,0.5
58,Hossein Azari Soufiani,3,1,0.3333333333333333
59,David C Parkes,3,1,0.3333333333333333
60,Lirong Xia,3,1,0.3333333333333333
