,name,author_number,total,contribution
0,Cameron Musco,2,1,0.5
1,Christopher Musco,2,1,0.5
2,Yuxin Chen,2,1,0.5
3,Emmanuel Candes,2,1,0.5
4,Alkis Gotovos,3,1,0.3333333333333333
5,Hamed Hassani,3,1,0.3333333333333333
6,Andreas Krause,3,1,0.3333333333333333
7,Maren Mahsereci,2,1,0.5
8,Philipp Hennig,2,1,0.5
9,Mehrdad Farajtabar,6,1,0.16666666666666666
10,Yichen Wang,6,1,0.16666666666666666
11,Manuel Rodriguez,6,1,0.16666666666666666
12,Shuang Li,6,1,0.16666666666666666
13,Hongyuan Zha,6,1,0.16666666666666666
14,Le Song,6,1,0.16666666666666666
15,Alon Orlitsky,2,1,0.5
16,Ananda Theertha Suresh,2,1,0.5
17,Vasilis Syrgkanis,4,1,0.25
18,Alekh Agarwal,4,1,0.25
19,Haipeng Luo,4,1,0.25
20,Robert Schapire,4,1,0.25
21,Igor Mordatch,5,1,0.2
22,Kendall Lowrey,5,1,0.2
23,Galen Andrew,5,1,0.2
24,Zoran Popovic,5,1,0.2
25,Emanuel Todorov,5,1,0.2
26,Vitaly Kuznetsov,2,1,0.5
27,Mehryar Mohri,2,1,0.5
28,Scott E Reed,4,1,0.25
29,Yi Zhang,4,1,0.25
30,Yuting Zhang,4,1,0.25
31,Honglak Lee,4,1,0.25
32,Sainbayar Sukhbaatar,4,1,0.25
33,arthur szlam,4,1,0.25
34,Jason Weston,4,1,0.25
35,Rob Fergus,4,1,0.25
36,Po-Hsuan (Cameron) Chen,6,1,0.16666666666666666
37,Janice Chen,6,1,0.16666666666666666
38,Yaara Yeshurun,6,1,0.16666666666666666
39,Uri Hasson,6,1,0.16666666666666666
40,James Haxby,6,1,0.16666666666666666
41,Peter J Ramadge,6,1,0.16666666666666666
42,Dane S Corneil,2,1,0.5
43,Wulfram Gerstner,2,1,0.5
44,Pascal Vincent,3,1,0.3333333333333333
45,Alexandre de Brébisson,3,1,0.3333333333333333
46,Xavier Bouthillier,3,1,0.3333333333333333
47,Alessandro Rudi,3,1,0.3333333333333333
48,Raffaello Camoriano,3,1,0.3333333333333333
49,Lorenzo Rosasco,3,1,0.3333333333333333
