,name,author_number,total,contribution
0,Fang Han,2,1,0.5
1,Han Liu,2,1,0.5
2,Borja Balle,2,1,0.5
3,Mehryar Mohri,2,1,0.5
4,Sasha Rakhlin,3,1,0.3333333333333333
5,Ohad Shamir,3,1,0.3333333333333333
6,Karthik Sridharan,3,1,0.3333333333333333
7,Nicolas Le Roux,3,1,0.3333333333333333
8,Mark Schmidt,3,1,0.3333333333333333
9,Francis Bach,3,1,0.3333333333333333
10,Joachim Giesen,4,1,0.25
11,Jens K Mueller,4,1,0.25
12,Soeren Laue,4,1,0.25
13,Sascha Swiercy,4,1,0.25
14,Lars Buesing,3,1,0.3333333333333333
15,Jakob H Macke,3,1,0.3333333333333333
16,Maneesh Sahani,3,1,0.3333333333333333
17,Hua Wang,8,1,0.125
18,Feiping Nie,8,1,0.125
19,Heng Huang,8,1,0.125
20,Jingwen Yan,8,1,0.125
21,Sungeun Kim,8,1,0.125
22,Shannon Risacher,8,1,0.125
23,Andrew Saykin,8,1,0.125
24,Li Shen,8,1,0.125
25,Nitish Srivastava,2,1,0.5
26,Russ R Salakhutdinov,2,1,0.5
27,Robert Gens,2,1,0.5
28,Pedro M Domingos,2,1,0.5
29,Ashwini Shukla,2,1,0.5
30,Aude Billard,2,1,0.5
31,Bruno Scherrer,2,1,0.5
32,Boris Lesner,2,1,0.5
33,Thomas Furmston,2,1,0.5
34,David Barber,2,1,0.5
35,John Duchi,3,1,0.3333333333333333
36,Michael I Jordan,3,1,0.3333333333333333
37,Martin J Wainwright,3,1,0.3333333333333333
38,Clément Calauzènes,3,1,0.3333333333333333
39,Nicolas Usunier,3,1,0.3333333333333333
40,Patrick Gallinari,3,1,0.3333333333333333
41,Eunho Yang,4,1,0.25
42,Pradeep K Ravikumar,4,1,0.25
43,Genevera I Allen,4,1,0.25
44,zhandong Liu,4,1,0.25
45,Po-Ling Loh,2,1,0.5
46,Martin J Wainwright,2,1,0.5
47,Alex Kulesza,3,1,0.3333333333333333
48,Jennifer A Gillenwater,3,1,0.3333333333333333
49,Ben Taskar,3,1,0.3333333333333333
50,Francois Caron,1,1,1.0
51,Pradeep Shenoy,2,1,0.5
52,Angela J Yu,2,1,0.5
53,Samory Kpotufe,2,1,0.5
54,Abdeslam Boularias,2,1,0.5
