,name,author_number,total,contribution
0,Nan Du,4,1,0.25
1,Le Song,4,1,0.25
2,Manuel Gomez-Rodriguez,4,1,0.25
3,Hongyuan Zha,4,1,0.25
4,Yao-Liang Yu,1,1,1.0
5,Haichao Zhang,2,1,0.5
6,David Wipf,2,1,0.5
7,Cristina Savin,3,1,0.3333333333333333
8,Peter Dayan,3,1,0.3333333333333333
9,Mate Lengyel,3,1,0.3333333333333333
10,Subhaneil Lahiri,2,1,0.5
11,Surya Ganguli,2,1,0.5
12,Pierre Baldi,2,1,0.5
13,Peter J Sadowski,2,1,0.5
14,Roger B Grosse,3,1,0.3333333333333333
15,Chris J J Maddison,3,1,0.3333333333333333
16,Russ R Salakhutdinov,3,1,0.3333333333333333
17,Jeff W Miller,2,1,0.5
18,Matthew T Harrison,2,1,0.5
19,Vikash K Mansinghka,4,1,0.25
20,Tejas D Kulkarni,4,1,0.25
21,Yura N Perov,4,1,0.25
22,Josh Tenenbaum,4,1,0.25
23,Robert V Lindsey,4,1,0.25
24,Michael C Mozer,4,1,0.25
25,William J Huggins,4,1,0.25
26,Harold Pashler,4,1,0.25
27,Dino Sejdinovic,3,1,0.3333333333333333
28,Arthur Gretton,3,1,0.3333333333333333
29,Wicher Bergsma,3,1,0.3333333333333333
30,Qirong Ho,9,1,0.1111111111111111
31,James Cipar,9,1,0.1111111111111111
32,Henggang Cui,9,1,0.1111111111111111
33,Seunghak Lee,9,1,0.1111111111111111
34,Jin Kyu Kim,9,1,0.1111111111111111
35,Phil Gibbons,9,1,0.1111111111111111
36,Garth A Gibson,9,1,0.1111111111111111
37,Greg Ganger,9,1,0.1111111111111111
38,Eric P Xing,9,1,0.1111111111111111
39,Nils E Napp,2,1,0.5
40,Ryan P Adams,2,1,0.5
41,Yuchen Zhang,4,1,0.25
42,John Duchi,4,1,0.25
43,Michael I Jordan,4,1,0.25
44,Martin J Wainwright,4,1,0.25
45,Noga Alon,4,1,0.25
46,Nicolò Cesa-Bianchi,4,1,0.25
47,Claudio Gentile,4,1,0.25
48,Yishay Mansour,4,1,0.25
49,Dan Russo,2,1,0.5
50,Benjamin Van Roy,2,1,0.5
51,Jacob D Abernethy,2,1,0.5
52,Satyen Kale,2,1,0.5
53,Rishabh K Iyer,2,1,0.5
54,Jeff A Bilmes,2,1,0.5
55,Prashanth L.A.,2,1,0.5
56,Mohammad Ghavamzadeh,2,1,0.5
57,Cho-Jui Hsieh,5,1,0.2
58,Matyas A Sustik,5,1,0.2
59,Inderjit S Dhillon,5,1,0.2
60,Pradeep K Ravikumar,5,1,0.2
61,Russell Poldrack,5,1,0.2
