,name,author_number,total,contribution
0,Shaul Druckmann,2,1,0.5
1,Dmitri B Chklovskii,2,1,0.5
2,Pradeep Shenoy,3,1,0.3333333333333333
3,Rajesh P Rao,3,1,0.3333333333333333
4,Angela J Yu,3,1,0.3333333333333333
5,Indraneel Mukherjee,2,1,0.5
6,Robert E Schapire,2,1,0.5
7,Sasha Rakhlin,3,1,0.3333333333333333
8,Karthik Sridharan,3,1,0.3333333333333333
9,Ambuj Tewari,3,1,0.3333333333333333
10,Alekh Agarwal,3,1,0.3333333333333333
11,Sahand N Negahban,3,1,0.3333333333333333
12,Martin J Wainwright,3,1,0.3333333333333333
13,Francis Bach,1,1,1.0
14,Umar Syed,2,1,0.5
15,Ben Taskar,2,1,0.5
16,Sashank Jakkam Reddi,3,1,0.3333333333333333
17,Sunita Sarawagi,3,1,0.3333333333333333
18,Sundar Vishwanathan,3,1,0.3333333333333333
19,Ali Jalali,4,1,0.25
20,Pradeep K Ravikumar,4,1,0.25
21,Sujay Sanghavi,4,1,0.25
22,Chao Ruan,4,1,0.25
23,Jeff Johns,3,1,0.3333333333333333
24,Christopher Painter-Wakefield,3,1,0.3333333333333333
25,Ronald Parr,3,1,0.3333333333333333
26,Peter Welinder,4,1,0.25
27,Steve Branson,4,1,0.25
28,Serge Belongie,4,1,0.25
29,Pietro Perona,4,1,0.25
30,Dahua Lin,3,1,0.3333333333333333
31,Eric Grimson,3,1,0.3333333333333333
32,John W Fisher III,3,1,0.3333333333333333
33,Iain Murray,2,1,0.5
34,Ryan P Adams,2,1,0.5
35,Ryan P Adams,3,1,0.3333333333333333
36,Zoubin Ghahramani,3,1,0.3333333333333333
37,Michael I Jordan,3,1,0.3333333333333333
38,James L Sharpnack,2,1,0.5
39,Aarti Singh,2,1,0.5
40,Fabian Triefenbach,4,1,0.25
41,Azarakhsh Jalalvand,4,1,0.25
42,Benjamin Schrauwen,4,1,0.25
43,Jean-Pierre Martens,4,1,0.25
44,Zeeshan Syed,2,1,0.5
45,John Guttag,2,1,0.5
46,Seth A Myers,2,1,0.5
47,Jure Leskovec,2,1,0.5
48,Hugo Larochelle,2,1,0.5
49,Geoffrey E Hinton,2,1,0.5
50,Bryan R Gibson,5,1,0.2
51,Xiaojin Zhu,5,1,0.2
52,Timothy T Rogers,5,1,0.2
53,Chuck Kalish,5,1,0.2
54,Joseph Harrison,5,1,0.2
