,name,author_number,total,contribution
0,Daniel J Hsu,4,1,0.25
1,Sham M Kakade,4,1,0.25
2,John Langford,4,1,0.25
3,Tong Zhang,4,1,0.25
4,Sahand N Negahban,4,1,0.25
5,Pradeep K Ravikumar,4,1,0.25
6,Martin J Wainwright,4,1,0.25
7,Bin Yu,4,1,0.25
8,Mario J Fritz,4,1,0.25
9,Michael J Black,4,1,0.25
10,Gary R Bradski,4,1,0.25
11,Trevor Darrell,4,1,0.25
12,Rob Fergus,3,1,0.3333333333333333
13,Yair Weiss,3,1,0.3333333333333333
14,Antonio Torralba,3,1,0.3333333333333333
15,Mingyuan Zhou,6,1,0.16666666666666666
16,Haojun Chen,6,1,0.16666666666666666
17,John Paisley,6,1,0.16666666666666666
18,Lu Ren,6,1,0.16666666666666666
19,Guillermo Sapiro,6,1,0.16666666666666666
20,Larry Carin,6,1,0.16666666666666666
21,Maxim Raginsky,2,1,0.5
22,Svetlana Lazebnik,2,1,0.5
23,Guillermo Cecchi,8,1,0.125
24,Irina Rish,8,1,0.125
25,Benjamin Thyreau,8,1,0.125
26,Bertrand Thirion,8,1,0.125
27,Marion Plaze,8,1,0.125
28,Jean-Luc Martinot,8,1,0.125
29,Marie Laure Paillere-Martinot,8,1,0.125
30,Jean-Baptiste Poline,8,1,0.125
31,Anne Hsu,2,1,0.5
32,Thomas Griffiths,2,1,0.5
33,Edward Vul,4,1,0.25
34,Michael C Frank,4,1,0.25
35,George Alvarez,4,1,0.25
36,Josh Tenenbaum,4,1,0.25
37,Wenming Zheng,2,1,0.5
38,Zhouchen Lin,2,1,0.5
39,Robert Legenstein,4,1,0.25
40,Steven Chase,4,1,0.25
41,Andrew B Schwartz,4,1,0.25
42,Wolfgang Maass,4,1,0.25
43,Jean-Pascal Pfister,3,1,0.3333333333333333
44,Peter Dayan,3,1,0.3333333333333333
45,Mate Lengyel,3,1,0.3333333333333333
46,John Duchi,2,1,0.5
47,Yoram Singer,2,1,0.5
48,Elad Hazan,2,1,0.5
49,Satyen Kale,2,1,0.5
50,Joel Veness,4,1,0.25
51,David Silver,4,1,0.25
52,William Uther,4,1,0.25
53,Alan Blair,4,1,0.25
54,Bharath Sriperumbudur,5,1,0.2
55,Kenji Fukumizu,5,1,0.2
56,Arthur Gretton,5,1,0.2
57,Gert Lanckriet,5,1,0.2
58,Bernhard Schölkopf,5,1,0.2
59,Menachem Fromer,2,1,0.5
60,Amir Globerson,2,1,0.5
61,Jonathan Chang,5,1,0.2
62,Jordan L Boyd-Graber,5,1,0.2
63,Sean Gerrish,5,1,0.2
64,Chong Wang,5,1,0.2
65,David Blei,5,1,0.2
66,Emily Fox,4,1,0.25
67,Erik B Sudderth,4,1,0.25
68,Michael I Jordan,4,1,0.25
69,Alan S Willsky,4,1,0.25
70,Nino Shervashidze,2,1,0.5
71,Karsten Borgwardt,2,1,0.5
72,Baback Moghaddam,4,1,0.25
73,Benjamin M Marlin,4,1,0.25
74,Emtiyaz E Khan,4,1,0.25
75,Kevin P Murphy,4,1,0.25
76,Jonathan W Pillow,1,1,1.0
