,name,author_number,total,contribution
0,Pierre Baldi,2,1,0.5
1,Roman Vershynin,2,1,0.5
2,Zi Yin,2,1,0.5
3,Yuanyuan Shen,2,1,0.5
4,Paul Hand,3,1,0.333333333
5,Oscar Leong,3,1,0.333333333
6,Vlad Voroninski,3,1,0.333333333
7,Joao Sacramento,4,1,0.25
8,Rui Ponte Costa,4,1,0.25
9,Yoshua Bengio,4,1,0.25
10,Walter Senn,4,1,0.25
11,Tatsunori Hashimoto,4,1,0.25
12,Kelvin Guu,4,1,0.25
13,Yonatan Oren,4,1,0.25
14,Percy Liang,4,1,0.25
15,Elad Hazan,5,1,0.2
16,Holden Lee,5,1,0.2
17,Karan Singh,5,1,0.2
18,Cyril Zhang,5,1,0.2
19,Yi Zhang,5,1,0.2
20,James Whittington,5,1,0.2
21,Timothy Muller,5,1,0.2
22,Shirely Mark,5,1,0.2
23,Caswell Barry,5,1,0.2
24,Tim Behrens,5,1,0.2
25,Tian Qi Chen,4,1,0.25
26,Yulia Rubanova,4,1,0.25
27,Jesse Bettencourt,4,1,0.25
28,David Duvenaud,4,1,0.25
29,Raef Bassily,3,1,0.333333333
30,Abhradeep Guha Thakurta,3,1,0.333333333
31,Om Dipakbhai Thakkar,3,1,0.333333333
32,Sabyasachi Shivkumar,4,1,0.25
33,Richard Lange,4,1,0.25
34,Ankani Chattoraj,4,1,0.25
35,Ralf Haefner,4,1,0.25
36,Shibani Santurkar,4,1,0.25
37,Dimitris Tsipras,4,1,0.25
38,Andrew Ilyas,4,1,0.25
39,Aleksander Madry,4,1,0.25
40,Mislav Balunovic,3,1,0.333333333
41,Pavol Bielik,3,1,0.333333333
42,Martin Vechev,3,1,0.333333333
43,Jungseul Ok,3,1,0.333333333
44,Alexandre Proutiere,3,1,0.333333333
45,Damianos Tranos,3,1,0.333333333
46,Ashish Kumar,5,1,0.2
47,Saurabh Gupta,5,1,0.2
48,David Fouhey,5,1,0.2
49,Sergey Levine,5,1,0.2
50,Jitendra Malik,5,1,0.2
51,Hassan Ashtiani,6,1,0.166666667
52,Shai Ben-David,6,1,0.166666667
53,Nick Harvey,6,1,0.166666667
54,Christopher Liaw,6,1,0.166666667
55,Abbas Mehrabian,6,1,0.166666667
56,Yaniv Plan,6,1,0.166666667
57,Alberto Maria Metelli,4,1,0.25
58,Matteo Papini,4,1,0.25
59,Francesco Faccio,4,1,0.25
60,Marcello Restelli,4,1,0.25
61,Tian Qi Chen,4,1,0.25
62,Xuechen Li,4,1,0.25
63,Roger Grosse,4,1,0.25
64,David Duvenaud,4,1,0.25
65,Nilesh Tripuraneni,5,1,0.2
66,Mitchell Stern,5,1,0.2
67,Chi Jin,5,1,0.2
68,Jeffrey Regier,5,1,0.2
69,Michael Jordan,5,1,0.2
70,David Ha,2,1,0.5
71,Jurgen Schmidhuber,2,1,0.5
72,Tal Friedman,2,1,0.5
73,Guy Van den Broeck,2,1,0.5
74,Yair Carmon,2,1,0.5
75,John Duchi,2,1,0.5
76,Amir Dezfouli,5,1,0.2
77,Richard Morris,5,1,0.2
78,Fabio Ramos,5,1,0.2
79,Peter Dayan,5,1,0.2
80,Bernard Balleine,5,1,0.2
81,Dilin Wang,3,1,0.333333333
82,Hao Liu,3,1,0.333333333
83,Qiang Liu,3,1,0.333333333
84,Rad Niazadeh,3,1,0.333333333
85,Tim Roughgarden,3,1,0.333333333
86,Joshua Wang,3,1,0.333333333
87,Jacob Buckman,5,1,0.2
88,Danijar Hafner,5,1,0.2
89,George Tucker,5,1,0.2
90,Eugene Brevdo,5,1,0.2
91,Honglak Lee,5,1,0.2
92,Supasorn Suwajanakorn,4,1,0.25
93,Noah Snavely,4,1,0.25
94,Jonathan Tompson,4,1,0.25
95,Mohammad Norouzi,4,1,0.25
96,Kevin Scaman,5,1,0.2
97,Francis Bach,5,1,0.2
98,Sebastien Bubeck,5,1,0.2
99,Laurent Massoulie,5,1,0.2
100,Yin Tat Lee,5,1,0.2
101,Tyler Lu,3,1,0.333333333
102,Dale Schuurmans,3,1,0.333333333
103,Craig Boutilier,3,1,0.333333333
104,Xiuming Zhang,6,1,0.166666667
105,Zhoutong Zhang,6,1,0.166666667
106,Chengkai Zhang,6,1,0.166666667
107,Josh Tenenbaum,6,1,0.166666667
108,Bill Freeman,6,1,0.166666667
109,Jiajun Wu,6,1,0.166666667
110,Thomas Pumir,3,1,0.333333333
111,Samy Jelassi,3,1,0.333333333
112,Nicolas Boumal,3,1,0.333333333
